generator	BR (F/B)	BR (R/L)	FR	estimated	actual
L2 U2 F2 R2 B2 U2 F2 R2 U2	3	3	3	9	9
L2 U2 F2 R2 B2 U2 F2 R2 D2	3	3	3	9	9
L2 U2 F2 R2 B2 U2 F2 L2 U2	1	3	3	7	9
L2 U2 F2 R2 B2 U2 F2 L2 D2	1	3	3	7	9
L2 U2 F2 R2 B2 U2 B2 R2 U2	1	3	3	7	9
L2 U2 F2 R2 B2 U2 B2 R2 D2	1	3	3	7	9
L2 U2 F2 R2 B2 U2 B2 L2 U2	3	3	3	9	9
L2 U2 F2 R2 B2 U2 B2 L2 D2	3	3	3	9	9
L2 U2 F2 R2 U2 F2 R2 F2 U2	3	3	3	9	9
L2 U2 F2 R2 U2 F2 R2 F2 D2	3	3	3	9	9
L2 U2 F2 R2 U2 F2 R2 B2 U2	3	3	3	9	9
L2 U2 F2 R2 U2 F2 R2 B2 D2	3	3	3	9	9
L2 U2 F2 R2 U2 F2 R2 U2 R2	4	2	3	9	9
L2 U2 F2 R2 U2 F2 R2 U2 L2	4	2	3	9	9
L2 U2 F2 R2 U2 F2 R2 D2 R2	4	2	3	9	9
L2 U2 F2 R2 U2 F2 R2 D2 L2	4	2	3	9	9
L2 U2 F2 R2 U2 F2 L2 F2 U2	3	3	3	9	9
L2 U2 F2 R2 U2 F2 L2 F2 D2	3	3	3	9	9
L2 U2 F2 R2 U2 F2 L2 B2 U2	3	3	3	9	9
L2 U2 F2 R2 U2 F2 L2 B2 D2	3	3	3	9	9
L2 U2 F2 R2 U2 F2 L2 U2 R2	4	2	3	9	9
L2 U2 F2 R2 U2 F2 L2 U2 L2	4	2	3	9	9
L2 U2 F2 R2 U2 F2 L2 D2 R2	4	2	3	9	9
L2 U2 F2 R2 U2 F2 L2 D2 L2	4	2	3	9	9
L2 U2 F2 R2 U2 F2 U2 F2 U2	2	3	2	7	9
L2 U2 F2 R2 U2 F2 U2 F2 D2	2	3	2	7	9
L2 U2 F2 R2 U2 F2 U2 B2 U2	2	3	2	7	9
L2 U2 F2 R2 U2 F2 U2 B2 D2	2	3	2	7	9
L2 U2 F2 R2 U2 B2 R2 F2 U2	3	3	3	9	9
L2 U2 F2 R2 U2 B2 R2 F2 D2	3	3	3	9	9
L2 U2 F2 R2 U2 B2 R2 B2 U2	3	3	3	9	9
L2 U2 F2 R2 U2 B2 R2 B2 D2	3	3	3	9	9
L2 U2 F2 R2 U2 B2 R2 U2 R2	4	2	3	9	9
L2 U2 F2 R2 U2 B2 R2 U2 L2	4	2	3	9	9
L2 U2 F2 R2 U2 B2 R2 D2 R2	4	2	3	9	9
L2 U2 F2 R2 U2 B2 R2 D2 L2	4	2	3	9	9
L2 U2 F2 R2 U2 B2 L2 F2 U2	3	3	3	9	9
L2 U2 F2 R2 U2 B2 L2 F2 D2	3	3	3	9	9
L2 U2 F2 R2 U2 B2 L2 B2 U2	3	3	3	9	9
L2 U2 F2 R2 U2 B2 L2 B2 D2	3	3	3	9	9
L2 U2 F2 R2 U2 B2 L2 U2 R2	4	2	3	9	9
L2 U2 F2 R2 U2 B2 L2 U2 L2	4	2	3	9	9
L2 U2 F2 R2 U2 B2 L2 D2 R2	4	2	3	9	9
L2 U2 F2 R2 U2 B2 L2 D2 L2	4	2	3	9	9
L2 U2 F2 R2 U2 B2 U2 F2 U2	2	3	2	7	9
L2 U2 F2 R2 U2 B2 U2 F2 D2	2	3	2	7	9
L2 U2 F2 R2 U2 B2 U2 B2 U2	2	3	2	7	9
L2 U2 F2 R2 U2 B2 U2 B2 D2	2	3	2	7	9
L2 U2 F2 L2 U2 F2 R2 F2 U2	3	3	3	9	9
L2 U2 F2 L2 U2 F2 R2 F2 D2	3	3	3	9	9
L2 U2 F2 L2 U2 F2 R2 B2 U2	3	3	3	9	9
L2 U2 F2 L2 U2 F2 R2 B2 D2	3	3	3	9	9
L2 U2 F2 L2 U2 F2 L2 F2 U2	3	3	3	9	9
L2 U2 F2 L2 U2 F2 L2 F2 D2	3	3	3	9	9
L2 U2 F2 L2 U2 F2 L2 B2 U2	3	3	3	9	9
L2 U2 F2 L2 U2 F2 L2 B2 D2	3	3	3	9	9
L2 U2 F2 L2 U2 F2 U2 F2 U2	2	3	2	7	9
L2 U2 F2 L2 U2 F2 U2 F2 D2	2	3	2	7	9
L2 U2 F2 L2 U2 F2 U2 B2 U2	2	3	2	7	9
L2 U2 F2 L2 U2 F2 U2 B2 D2	2	3	2	7	9
L2 U2 F2 L2 U2 B2 R2 F2 U2	3	3	3	9	9
L2 U2 F2 L2 U2 B2 R2 F2 D2	3	3	3	9	9
L2 U2 F2 L2 U2 B2 R2 B2 U2	3	3	3	9	9
L2 U2 F2 L2 U2 B2 R2 B2 D2	3	3	3	9	9
L2 U2 F2 L2 U2 B2 L2 F2 U2	3	3	3	9	9
L2 U2 F2 L2 U2 B2 L2 F2 D2	3	3	3	9	9
L2 U2 F2 L2 U2 B2 L2 B2 U2	3	3	3	9	9
L2 U2 F2 L2 U2 B2 L2 B2 D2	3	3	3	9	9
L2 U2 F2 L2 U2 B2 U2 F2 U2	2	3	2	7	9
L2 U2 F2 L2 U2 B2 U2 F2 D2	2	3	2	7	9
L2 U2 F2 L2 U2 B2 U2 B2 U2	2	3	2	7	9
L2 U2 F2 L2 U2 B2 U2 B2 D2	2	3	2	7	9
L2 U2 F2 U2 F2 R2 U2 R2 F2	3	1	3	7	9
L2 U2 F2 U2 F2 R2 U2 R2 B2	3	3	3	9	9
L2 U2 F2 U2 F2 R2 U2 R2 U2	3	2	2	7	9
L2 U2 F2 U2 F2 R2 U2 R2 D2	3	2	2	7	9
L2 U2 F2 U2 F2 R2 U2 L2 F2	3	3	3	9	9
L2 U2 F2 U2 F2 R2 U2 L2 B2	3	1	3	7	9
L2 U2 F2 U2 F2 R2 U2 L2 U2	3	2	2	7	9
L2 U2 F2 U2 F2 R2 U2 L2 D2	3	2	2	7	9
L2 U2 F2 U2 F2 R2 D2 R2 F2	3	1	3	7	9
L2 U2 F2 U2 F2 R2 D2 R2 B2	3	3	3	9	9
L2 U2 F2 U2 F2 R2 D2 L2 F2	3	3	3	9	9
L2 U2 F2 U2 F2 R2 D2 L2 B2	3	1	3	7	9
L2 U2 F2 U2 F2 L2 U2 R2 F2	3	3	3	9	9
L2 U2 F2 U2 F2 L2 U2 R2 B2	3	1	3	7	9
L2 U2 F2 U2 F2 L2 U2 R2 U2	3	2	2	7	9
L2 U2 F2 U2 F2 L2 U2 R2 D2	3	2	2	7	9
L2 U2 F2 U2 F2 L2 U2 L2 F2	3	1	3	7	9
L2 U2 F2 U2 F2 L2 U2 L2 B2	3	3	3	9	9
L2 U2 F2 U2 F2 L2 U2 L2 U2	3	2	2	7	9
L2 U2 F2 U2 F2 L2 U2 L2 D2	3	2	2	7	9
L2 U2 F2 U2 F2 L2 D2 R2 F2	3	3	3	9	9
L2 U2 F2 U2 F2 L2 D2 R2 B2	3	1	3	7	9
L2 U2 F2 U2 F2 L2 D2 L2 F2	3	1	3	7	9
L2 U2 F2 U2 F2 L2 D2 L2 B2	3	3	3	9	9
L2 U2 F2 U2 B2 R2 U2 R2 U2	3	2	2	7	9
L2 U2 F2 U2 B2 R2 U2 R2 D2	3	2	2	7	9
L2 U2 F2 U2 B2 R2 U2 L2 U2	3	2	2	7	9
L2 U2 F2 U2 B2 R2 U2 L2 D2	3	2	2	7	9
L2 U2 F2 U2 B2 L2 U2 R2 U2	3	2	2	7	9
L2 U2 F2 U2 B2 L2 U2 R2 D2	3	2	2	7	9
L2 U2 F2 U2 B2 L2 U2 L2 U2	3	2	2	7	9
L2 U2 F2 U2 B2 L2 U2 L2 D2	3	2	2	7	9
L2 U2 B2 R2 F2 U2 F2 R2 U2	1	3	3	7	9
L2 U2 B2 R2 F2 U2 F2 R2 D2	1	3	3	7	9
L2 U2 B2 R2 F2 U2 F2 L2 U2	3	3	3	9	9
L2 U2 B2 R2 F2 U2 F2 L2 D2	3	3	3	9	9
L2 U2 B2 R2 F2 U2 B2 R2 U2	3	3	3	9	9
L2 U2 B2 R2 F2 U2 B2 R2 D2	3	3	3	9	9
L2 U2 B2 R2 F2 U2 B2 L2 U2	1	3	3	7	9
L2 U2 B2 R2 F2 U2 B2 L2 D2	1	3	3	7	9
L2 U2 B2 R2 B2 U2 F2 R2 U2	3	3	3	9	9
L2 U2 B2 R2 B2 U2 F2 R2 D2	3	3	3	9	9
L2 U2 B2 R2 B2 U2 F2 L2 U2	1	3	3	7	9
L2 U2 B2 R2 B2 U2 F2 L2 D2	1	3	3	7	9
L2 U2 B2 R2 B2 U2 B2 R2 U2	1	3	3	7	9
L2 U2 B2 R2 B2 U2 B2 R2 D2	1	3	3	7	9
L2 U2 B2 R2 B2 U2 B2 L2 U2	3	3	3	9	9
L2 U2 B2 R2 B2 U2 B2 L2 D2	3	3	3	9	9
L2 U2 B2 R2 U2 F2 R2 U2 R2	4	2	3	9	9
L2 U2 B2 R2 U2 F2 R2 U2 L2	4	2	3	9	9
L2 U2 B2 R2 U2 F2 R2 D2 R2	4	2	3	9	9
L2 U2 B2 R2 U2 F2 R2 D2 L2	4	2	3	9	9
L2 U2 B2 R2 U2 F2 L2 U2 R2	4	2	3	9	9
L2 U2 B2 R2 U2 F2 L2 U2 L2	4	2	3	9	9
L2 U2 B2 R2 U2 F2 L2 D2 R2	4	2	3	9	9
L2 U2 B2 R2 U2 F2 L2 D2 L2	4	2	3	9	9
L2 U2 B2 R2 U2 F2 U2 F2 U2	2	3	2	7	9
L2 U2 B2 R2 U2 F2 U2 F2 D2	2	3	2	7	9
L2 U2 B2 R2 U2 F2 U2 B2 U2	2	3	2	7	9
L2 U2 B2 R2 U2 F2 U2 B2 D2	2	3	2	7	9
L2 U2 B2 R2 U2 B2 R2 U2 R2	4	2	3	9	9
L2 U2 B2 R2 U2 B2 R2 U2 L2	4	2	3	9	9
L2 U2 B2 R2 U2 B2 R2 D2 R2	4	2	3	9	9
L2 U2 B2 R2 U2 B2 R2 D2 L2	4	2	3	9	9
L2 U2 B2 R2 U2 B2 L2 U2 R2	4	2	3	9	9
L2 U2 B2 R2 U2 B2 L2 U2 L2	4	2	3	9	9
L2 U2 B2 R2 U2 B2 L2 D2 R2	4	2	3	9	9
L2 U2 B2 R2 U2 B2 L2 D2 L2	4	2	3	9	9
L2 U2 B2 R2 U2 B2 U2 F2 U2	2	3	2	7	9
L2 U2 B2 R2 U2 B2 U2 F2 D2	2	3	2	7	9
L2 U2 B2 R2 U2 B2 U2 B2 U2	2	3	2	7	9
L2 U2 B2 R2 U2 B2 U2 B2 D2	2	3	2	7	9
L2 U2 B2 L2 U2 F2 U2 F2 U2	2	3	2	7	9
L2 U2 B2 L2 U2 F2 U2 F2 D2	2	3	2	7	9
L2 U2 B2 L2 U2 F2 U2 B2 U2	2	3	2	7	9
L2 U2 B2 L2 U2 F2 U2 B2 D2	2	3	2	7	9
L2 U2 B2 L2 U2 B2 U2 F2 U2	2	3	2	7	9
L2 U2 B2 L2 U2 B2 U2 F2 D2	2	3	2	7	9
L2 U2 B2 L2 U2 B2 U2 B2 U2	2	3	2	7	9
L2 U2 B2 L2 U2 B2 U2 B2 D2	2	3	2	7	9
L2 U2 B2 U2 F2 R2 U2 R2 F2	3	1	3	7	9
L2 U2 B2 U2 F2 R2 U2 R2 B2	3	3	3	9	9
L2 U2 B2 U2 F2 R2 U2 R2 U2	3	2	2	7	9
L2 U2 B2 U2 F2 R2 U2 R2 D2	3	2	2	7	9
L2 U2 B2 U2 F2 R2 U2 L2 F2	3	3	3	9	9
L2 U2 B2 U2 F2 R2 U2 L2 B2	3	1	3	7	9
L2 U2 B2 U2 F2 R2 U2 L2 U2	3	2	2	7	9
L2 U2 B2 U2 F2 R2 U2 L2 D2	3	2	2	7	9
L2 U2 B2 U2 F2 R2 D2 R2 F2	3	1	3	7	9
L2 U2 B2 U2 F2 R2 D2 R2 B2	3	3	3	9	9
L2 U2 B2 U2 F2 R2 D2 L2 F2	3	3	3	9	9
L2 U2 B2 U2 F2 R2 D2 L2 B2	3	1	3	7	9
L2 U2 B2 U2 F2 L2 U2 R2 F2	3	3	3	9	9
L2 U2 B2 U2 F2 L2 U2 R2 B2	3	1	3	7	9
L2 U2 B2 U2 F2 L2 U2 R2 U2	3	2	2	7	9
L2 U2 B2 U2 F2 L2 U2 R2 D2	3	2	2	7	9
L2 U2 B2 U2 F2 L2 U2 L2 F2	3	1	3	7	9
L2 U2 B2 U2 F2 L2 U2 L2 B2	3	3	3	9	9
L2 U2 B2 U2 F2 L2 U2 L2 U2	3	2	2	7	9
L2 U2 B2 U2 F2 L2 U2 L2 D2	3	2	2	7	9
L2 U2 B2 U2 F2 L2 D2 R2 F2	3	3	3	9	9
L2 U2 B2 U2 F2 L2 D2 R2 B2	3	1	3	7	9
L2 U2 B2 U2 F2 L2 D2 L2 F2	3	1	3	7	9
L2 U2 B2 U2 F2 L2 D2 L2 B2	3	3	3	9	9
L2 U2 B2 U2 B2 R2 U2 R2 U2	3	2	2	7	9
L2 U2 B2 U2 B2 R2 U2 R2 D2	3	2	2	7	9
L2 U2 B2 U2 B2 R2 U2 L2 U2	3	2	2	7	9
L2 U2 B2 U2 B2 R2 U2 L2 D2	3	2	2	7	9
L2 U2 B2 U2 B2 L2 U2 R2 U2	3	2	2	7	9
L2 U2 B2 U2 B2 L2 U2 R2 D2	3	2	2	7	9
L2 U2 B2 U2 B2 L2 U2 L2 U2	3	2	2	7	9
L2 U2 B2 U2 B2 L2 U2 L2 D2	3	2	2	7	9
L2 U2 R2 F2 R2 U2 F2 R2 U2	4	2	3	9	9
L2 U2 R2 F2 R2 U2 F2 R2 D2	4	2	3	9	9
L2 U2 R2 F2 R2 U2 F2 L2 U2	4	2	3	9	9
L2 U2 R2 F2 R2 U2 F2 L2 D2	4	2	3	9	9
L2 U2 R2 F2 R2 U2 B2 R2 U2	4	2	3	9	9
L2 U2 R2 F2 R2 U2 B2 R2 D2	4	2	3	9	9
L2 U2 R2 F2 R2 U2 B2 L2 U2	4	2	3	9	9
L2 U2 R2 F2 R2 U2 B2 L2 D2	4	2	3	9	9
L2 U2 R2 F2 L2 U2 F2 R2 U2	4	2	3	9	9
L2 U2 R2 F2 L2 U2 F2 R2 D2	4	2	3	9	9
L2 U2 R2 F2 L2 U2 F2 L2 U2	4	2	3	9	9
L2 U2 R2 F2 L2 U2 F2 L2 D2	4	2	3	9	9
L2 U2 R2 F2 L2 U2 B2 R2 U2	4	2	3	9	9
L2 U2 R2 F2 L2 U2 B2 R2 D2	4	2	3	9	9
L2 U2 R2 F2 L2 U2 B2 L2 U2	4	2	3	9	9
L2 U2 R2 F2 L2 U2 B2 L2 D2	4	2	3	9	9
L2 U2 R2 B2 R2 U2 F2 R2 U2	4	2	3	9	9
L2 U2 R2 B2 R2 U2 F2 R2 D2	4	2	3	9	9
L2 U2 R2 B2 R2 U2 F2 L2 U2	4	2	3	9	9
L2 U2 R2 B2 R2 U2 F2 L2 D2	4	2	3	9	9
L2 U2 R2 B2 R2 U2 B2 R2 U2	4	2	3	9	9
L2 U2 R2 B2 R2 U2 B2 R2 D2	4	2	3	9	9
L2 U2 R2 B2 R2 U2 B2 L2 U2	4	2	3	9	9
L2 U2 R2 B2 R2 U2 B2 L2 D2	4	2	3	9	9
L2 U2 R2 B2 L2 U2 F2 R2 U2	4	2	3	9	9
L2 U2 R2 B2 L2 U2 F2 R2 D2	4	2	3	9	9
L2 U2 R2 B2 L2 U2 F2 L2 U2	4	2	3	9	9
L2 U2 R2 B2 L2 U2 F2 L2 D2	4	2	3	9	9
L2 U2 R2 B2 L2 U2 B2 R2 U2	4	2	3	9	9
L2 U2 R2 B2 L2 U2 B2 R2 D2	4	2	3	9	9
L2 U2 R2 B2 L2 U2 B2 L2 U2	4	2	3	9	9
L2 U2 R2 B2 L2 U2 B2 L2 D2	4	2	3	9	9
U2 F2 B2 R2 F2 U2 F2 R2 U2	0	2	3	5	9
U2 F2 B2 R2 F2 U2 F2 R2 D2	0	2	3	5	9
U2 F2 B2 R2 F2 U2 F2 L2 U2	2	2	3	7	9
U2 F2 B2 R2 F2 U2 F2 L2 D2	2	2	3	7	9
U2 F2 B2 R2 F2 U2 B2 R2 U2	2	2	3	7	9
U2 F2 B2 R2 F2 U2 B2 R2 D2	2	2	3	7	9
U2 F2 B2 R2 F2 U2 B2 L2 U2	0	2	3	5	9
U2 F2 B2 R2 F2 U2 B2 L2 D2	0	2	3	5	9
U2 F2 B2 R2 B2 U2 F2 R2 U2	2	2	3	7	9
U2 F2 B2 R2 B2 U2 F2 R2 D2	2	2	3	7	9
U2 F2 B2 R2 B2 U2 F2 L2 U2	0	2	3	5	9
U2 F2 B2 R2 B2 U2 F2 L2 D2	0	2	3	5	9
U2 F2 B2 R2 B2 U2 B2 R2 U2	0	2	3	5	9
U2 F2 B2 R2 B2 U2 B2 R2 D2	0	2	3	5	9
U2 F2 B2 R2 B2 U2 B2 L2 U2	2	2	3	7	9
U2 F2 B2 R2 B2 U2 B2 L2 D2	2	2	3	7	9
U2 F2 R2 F2 B2 U2 R2 F2 U2	2	2	3	7	9
U2 F2 R2 F2 B2 U2 R2 F2 D2	2	2	3	7	9
U2 F2 R2 F2 B2 U2 R2 B2 U2	2	2	3	7	9
U2 F2 R2 F2 B2 U2 R2 B2 D2	2	2	3	7	9
U2 F2 R2 F2 B2 U2 L2 F2 U2	2	2	3	7	9
U2 F2 R2 F2 B2 U2 L2 F2 D2	2	2	3	7	9
U2 F2 R2 F2 B2 U2 L2 B2 U2	2	2	3	7	9
U2 F2 R2 F2 B2 U2 L2 B2 D2	2	2	3	7	9
U2 F2 R2 F2 R2 F2 R2 U2 F2	3	4	2	9	9
U2 F2 R2 F2 R2 F2 R2 U2 B2	3	4	2	9	9
U2 F2 R2 F2 R2 F2 R2 U2 R2	4	3	2	9	9
U2 F2 R2 F2 R2 F2 R2 U2 L2	4	3	2	9	9
U2 F2 R2 F2 R2 F2 R2 D2 F2	3	4	2	9	9
U2 F2 R2 F2 R2 F2 R2 D2 B2	3	4	2	9	9
U2 F2 R2 F2 R2 F2 R2 D2 R2	4	3	2	9	9
U2 F2 R2 F2 R2 F2 R2 D2 L2	4	3	2	9	9
U2 F2 R2 F2 R2 F2 L2 U2 F2	3	4	2	9	9
U2 F2 R2 F2 R2 F2 L2 U2 B2	3	4	2	9	9
U2 F2 R2 F2 R2 F2 L2 U2 R2	4	3	2	9	9
U2 F2 R2 F2 R2 F2 L2 U2 L2	4	3	2	9	9
U2 F2 R2 F2 R2 F2 L2 D2 F2	3	4	2	9	9
U2 F2 R2 F2 R2 F2 L2 D2 B2	3	4	2	9	9
U2 F2 R2 F2 R2 F2 L2 D2 R2	4	3	2	9	9
U2 F2 R2 F2 R2 F2 L2 D2 L2	4	3	2	9	9
U2 F2 R2 F2 R2 F2 U2 R2 F2	3	2	2	7	9
U2 F2 R2 F2 R2 F2 U2 R2 B2	3	2	2	7	9
U2 F2 R2 F2 R2 F2 U2 R2 U2	3	3	3	9	9
U2 F2 R2 F2 R2 F2 U2 R2 D2	3	3	3	9	9
U2 F2 R2 F2 R2 F2 U2 L2 F2	3	2	2	7	9
U2 F2 R2 F2 R2 F2 U2 L2 B2	3	2	2	7	9
U2 F2 R2 F2 R2 F2 U2 L2 U2	3	3	3	9	9
U2 F2 R2 F2 R2 F2 U2 L2 D2	3	3	3	9	9
U2 F2 R2 F2 R2 F2 D2 R2 F2	3	2	2	7	9
U2 F2 R2 F2 R2 F2 D2 R2 B2	3	2	2	7	9
U2 F2 R2 F2 R2 F2 D2 L2 F2	3	2	2	7	9
U2 F2 R2 F2 R2 F2 D2 L2 B2	3	2	2	7	9
U2 F2 R2 F2 R2 B2 R2 U2 F2	3	4	2	9	9
U2 F2 R2 F2 R2 B2 R2 U2 B2	3	4	2	9	9
U2 F2 R2 F2 R2 B2 R2 U2 R2	4	3	2	9	9
U2 F2 R2 F2 R2 B2 R2 U2 L2	4	3	2	9	9
U2 F2 R2 F2 R2 B2 R2 D2 F2	3	4	2	9	9
U2 F2 R2 F2 R2 B2 R2 D2 B2	3	4	2	9	9
U2 F2 R2 F2 R2 B2 R2 D2 R2	4	3	2	9	9
U2 F2 R2 F2 R2 B2 R2 D2 L2	4	3	2	9	9
U2 F2 R2 F2 R2 B2 L2 U2 F2	3	4	2	9	9
U2 F2 R2 F2 R2 B2 L2 U2 B2	3	4	2	9	9
U2 F2 R2 F2 R2 B2 L2 U2 R2	4	3	2	9	9
U2 F2 R2 F2 R2 B2 L2 U2 L2	4	3	2	9	9
U2 F2 R2 F2 R2 B2 L2 D2 F2	3	4	2	9	9
U2 F2 R2 F2 R2 B2 L2 D2 B2	3	4	2	9	9
U2 F2 R2 F2 R2 B2 L2 D2 R2	4	3	2	9	9
U2 F2 R2 F2 R2 B2 L2 D2 L2	4	3	2	9	9
U2 F2 R2 F2 R2 B2 U2 R2 F2	3	2	2	7	9
U2 F2 R2 F2 R2 B2 U2 R2 B2	3	2	2	7	9
U2 F2 R2 F2 R2 B2 U2 R2 U2	3	3	3	9	9
U2 F2 R2 F2 R2 B2 U2 R2 D2	3	3	3	9	9
U2 F2 R2 F2 R2 B2 U2 L2 F2	3	2	2	7	9
U2 F2 R2 F2 R2 B2 U2 L2 B2	3	2	2	7	9
U2 F2 R2 F2 R2 B2 U2 L2 U2	3	3	3	9	9
U2 F2 R2 F2 R2 B2 U2 L2 D2	3	3	3	9	9
U2 F2 R2 F2 R2 B2 D2 R2 F2	3	2	2	7	9
U2 F2 R2 F2 R2 B2 D2 R2 B2	3	2	2	7	9
U2 F2 R2 F2 R2 B2 D2 L2 F2	3	2	2	7	9
U2 F2 R2 F2 R2 B2 D2 L2 B2	3	2	2	7	9
U2 F2 R2 F2 R2 U2 F2 R2 U2	3	3	3	9	9
U2 F2 R2 F2 R2 U2 F2 R2 D2	3	3	3	9	9
U2 F2 R2 F2 R2 U2 F2 L2 U2	3	3	3	9	9
U2 F2 R2 F2 R2 U2 F2 L2 D2	3	3	3	9	9
U2 F2 R2 F2 R2 U2 B2 R2 U2	3	3	3	9	9
U2 F2 R2 F2 R2 U2 B2 R2 D2	3	3	3	9	9
U2 F2 R2 F2 R2 U2 B2 L2 U2	3	3	3	9	9
U2 F2 R2 F2 R2 U2 B2 L2 D2	3	3	3	9	9
U2 F2 R2 F2 L2 F2 R2 U2 F2	3	4	2	9	9
U2 F2 R2 F2 L2 F2 R2 U2 B2	3	4	2	9	9
U2 F2 R2 F2 L2 F2 R2 U2 R2	4	3	2	9	9
U2 F2 R2 F2 L2 F2 R2 U2 L2	4	3	2	9	9
U2 F2 R2 F2 L2 F2 R2 D2 F2	3	4	2	9	9
U2 F2 R2 F2 L2 F2 R2 D2 B2	3	4	2	9	9
U2 F2 R2 F2 L2 F2 R2 D2 R2	4	3	2	9	9
U2 F2 R2 F2 L2 F2 R2 D2 L2	4	3	2	9	9
U2 F2 R2 F2 L2 F2 L2 U2 F2	3	4	2	9	9
U2 F2 R2 F2 L2 F2 L2 U2 B2	3	4	2	9	9
U2 F2 R2 F2 L2 F2 L2 U2 R2	4	3	2	9	9
U2 F2 R2 F2 L2 F2 L2 U2 L2	4	3	2	9	9
U2 F2 R2 F2 L2 F2 L2 D2 F2	3	4	2	9	9
U2 F2 R2 F2 L2 F2 L2 D2 B2	3	4	2	9	9
U2 F2 R2 F2 L2 F2 L2 D2 R2	4	3	2	9	9
U2 F2 R2 F2 L2 F2 L2 D2 L2	4	3	2	9	9
U2 F2 R2 F2 L2 F2 U2 R2 F2	3	2	2	7	9
U2 F2 R2 F2 L2 F2 U2 R2 B2	3	2	2	7	9
U2 F2 R2 F2 L2 F2 U2 R2 U2	3	3	3	9	9
U2 F2 R2 F2 L2 F2 U2 R2 D2	3	3	3	9	9
U2 F2 R2 F2 L2 F2 U2 L2 F2	3	2	2	7	9
U2 F2 R2 F2 L2 F2 U2 L2 B2	3	2	2	7	9
U2 F2 R2 F2 L2 F2 U2 L2 U2	3	3	3	9	9
U2 F2 R2 F2 L2 F2 U2 L2 D2	3	3	3	9	9
U2 F2 R2 F2 L2 F2 D2 R2 F2	3	2	2	7	9
U2 F2 R2 F2 L2 F2 D2 R2 B2	3	2	2	7	9
U2 F2 R2 F2 L2 F2 D2 L2 F2	3	2	2	7	9
U2 F2 R2 F2 L2 F2 D2 L2 B2	3	2	2	7	9
U2 F2 R2 F2 L2 B2 R2 U2 F2	3	4	2	9	9
U2 F2 R2 F2 L2 B2 R2 U2 B2	3	4	2	9	9
U2 F2 R2 F2 L2 B2 R2 U2 R2	4	3	2	9	9
U2 F2 R2 F2 L2 B2 R2 U2 L2	4	3	2	9	9
U2 F2 R2 F2 L2 B2 R2 D2 F2	3	4	2	9	9
U2 F2 R2 F2 L2 B2 R2 D2 B2	3	4	2	9	9
U2 F2 R2 F2 L2 B2 R2 D2 R2	4	3	2	9	9
U2 F2 R2 F2 L2 B2 R2 D2 L2	4	3	2	9	9
U2 F2 R2 F2 L2 B2 L2 U2 F2	3	4	2	9	9
U2 F2 R2 F2 L2 B2 L2 U2 B2	3	4	2	9	9
U2 F2 R2 F2 L2 B2 L2 U2 R2	4	3	2	9	9
U2 F2 R2 F2 L2 B2 L2 U2 L2	4	3	2	9	9
U2 F2 R2 F2 L2 B2 L2 D2 F2	3	4	2	9	9
U2 F2 R2 F2 L2 B2 L2 D2 B2	3	4	2	9	9
U2 F2 R2 F2 L2 B2 L2 D2 R2	4	3	2	9	9
U2 F2 R2 F2 L2 B2 L2 D2 L2	4	3	2	9	9
U2 F2 R2 F2 L2 B2 U2 R2 F2	3	2	2	7	9
U2 F2 R2 F2 L2 B2 U2 R2 B2	3	2	2	7	9
U2 F2 R2 F2 L2 B2 U2 R2 U2	3	3	3	9	9
U2 F2 R2 F2 L2 B2 U2 R2 D2	3	3	3	9	9
U2 F2 R2 F2 L2 B2 U2 L2 F2	3	2	2	7	9
U2 F2 R2 F2 L2 B2 U2 L2 B2	3	2	2	7	9
U2 F2 R2 F2 L2 B2 U2 L2 U2	3	3	3	9	9
U2 F2 R2 F2 L2 B2 U2 L2 D2	3	3	3	9	9
U2 F2 R2 F2 L2 B2 D2 R2 F2	3	2	2	7	9
U2 F2 R2 F2 L2 B2 D2 R2 B2	3	2	2	7	9
U2 F2 R2 F2 L2 B2 D2 L2 F2	3	2	2	7	9
U2 F2 R2 F2 L2 B2 D2 L2 B2	3	2	2	7	9
U2 F2 R2 F2 L2 U2 F2 R2 U2	3	3	3	9	9
U2 F2 R2 F2 L2 U2 F2 R2 D2	3	3	3	9	9
U2 F2 R2 F2 L2 U2 F2 L2 U2	3	3	3	9	9
U2 F2 R2 F2 L2 U2 F2 L2 D2	3	3	3	9	9
U2 F2 R2 F2 L2 U2 B2 R2 U2	3	3	3	9	9
U2 F2 R2 F2 L2 U2 B2 R2 D2	3	3	3	9	9
U2 F2 R2 F2 L2 U2 B2 L2 U2	3	3	3	9	9
U2 F2 R2 F2 L2 U2 B2 L2 D2	3	3	3	9	9
U2 F2 R2 F2 U2 F2 R2 U2 R2	1	3	3	7	9
U2 F2 R2 F2 U2 F2 R2 U2 L2	1	3	3	7	9
U2 F2 R2 F2 U2 F2 R2 D2 R2	1	3	3	7	9
U2 F2 R2 F2 U2 F2 R2 D2 L2	1	3	3	7	9
U2 F2 R2 F2 U2 F2 L2 F2 U2	2	4	3	9	9
U2 F2 R2 F2 U2 F2 L2 F2 D2	2	4	3	9	9
U2 F2 R2 F2 U2 F2 L2 B2 U2	2	4	3	9	9
U2 F2 R2 F2 U2 F2 L2 B2 D2	2	4	3	9	9
U2 F2 R2 F2 U2 F2 L2 U2 F2	2	4	3	9	9
